Team,Season,State,Total_KM_Travelled,Wins,Games_Played,Win_Pct
Brisbane Lions,2022,QLD,36554,17,25,68.0
Carlton,2022,VIC,19056,12,22,54.55
Collingwood,2022,VIC,15038,17,25,68.0
Essendon,2022,VIC,12352,7,22,31.82
Fremantle,2022,WA,61140,16,24,66.67
Geelong,2022,VIC,13844,21,25,84.0
Gold Coast,2022,QLD,30024,10,22,45.45
Greater Western Sydney,2022,NSW,21250,6,22,27.27
Hawthorn,2022,VIC,15670,8,22,36.36
Melbourne,2022,VIC,19068,16,24,66.67
North Melbourne,2022,VIC,17352,2,22,9.09
Port Adelaide,2022,SA,23184,10,22,45.45
Richmond,2022,VIC,14920,13,23,56.52
St Kilda,2022,VIC,17434,11,22,50.0
Sydney,2022,NSW,28724,18,25,72.0
West Coast,2022,WA,56688,2,22,9.09
Western Bulldogs,2022,VIC,18814,12,23,52.17
Adelaide,2023,SA,23386,11,23,47.83
Brisbane Lions,2023,QLD,34882,19,26,73.08
Carlton,2023,VIC,20482,15,26,57.69
Collingwood,2023,VIC,13494,21,26,80.77
Essendon,2023,VIC,16500,11,23,47.83
Fremantle,2023,WA,57204,10,23,43.48
Geelong,2023,VIC,14618,10,23,43.48
Gold Coast,2023,QLD,34376,9,23,39.13
Greater Western Sydney,2023,NSW,29972,15,26,57.69
Hawthorn,2023,VIC,13598,7,23,30.43
Melbourne,2023,VIC,16246,16,25,64.0
North Melbourne,2023,VIC,15900,3,23,13.04
Port Adelaide,2023,SA,21214,17,25,68.0
Richmond,2023,VIC,17678,10,23,43.48
St Kilda,2023,VIC,16346,13,24,54.17
Sydney,2023,NSW,24172,12,24,50.0
West Coast,2023,WA,59724,3,23,13.04
Western Bulldogs,2023,VIC,16426,12,23,52.17
Adelaide,2024,SA,21794,8,23,34.78
Brisbane Lions,2024,QLD,43558,18,27,66.67
Carlton,2024,VIC,16408,13,24,54.17
Collingwood,2024,VIC,13730,12,23,52.17
Essendon,2024,VIC,14920,11,23,47.83
Fremantle,2024,WA,54554,12,23,52.17
Geelong,2024,VIC,21660,16,25,64.0
Gold Coast,2024,QLD,33570,11,23,47.83
Greater Western Sydney,2024,NSW,21020,15,25,60.0
Hawthorn,2024,VIC,14426,15,25,60.0
Melbourne,2024,VIC,20364,11,23,47.83
North Melbourne,2024,VIC,16918,3,23,13.04
Port Adelaide,2024,SA,22224,17,26,65.38
Richmond,2024,VIC,19068,2,23,8.7
St Kilda,2024,VIC,14068,11,23,47.83
Sydney,2024,NSW,21250,19,26,73.08
West Coast,2024,WA,54358,5,23,21.74
Western Bulldogs,2024,VIC,11042,14,24,58.33
