Team,Opponent,Season,State,Game_Type,Venue,Venue_City,Month,Date,Team_Score,Opponent_Score,Win,Result
Geelong,Melbourne,2017,VIC,Home,Docklands,Melbourne,April,2017-04-08 16:35,126,97,1,W
Melbourne,Geelong,2017,VIC,Away,Docklands,Melbourne,April,2017-04-08 16:35,97,126,0,L
Fremantle,Western Bulldogs,2017,WA,Home,Subiaco,Perth,April,2017-04-08 17:40,89,73,1,W
Western Bulldogs,Fremantle,2017,VIC,Away,Subiaco,Perth,April,2017-04-08 17:40,73,89,0,L
Port Adelaide,Adelaide,2017,SA,Home,Adelaide Oval,Adelaide,April,2017-04-08 19:10,83,100,0,L
Adelaide,Port Adelaide,2017,SA,Away,Adelaide Oval,Adelaide,April,2017-04-08 19:10,100,83,1,W
St Kilda,Brisbane Lions,2017,VIC,Home,Docklands,Melbourne,April,2017-04-09 13:10,107,76,1,W
Brisbane Lions,St Kilda,2017,QLD,Away,Docklands,Melbourne,April,2017-04-09 13:10,76,107,0,L
Carlton,Essendon,2017,VIC,Home,M.C.G.,Melbourne,April,2017-04-09 15:20,57,42,1,W
Essendon,Carlton,2017,VIC,Away,M.C.G.,Melbourne,April,2017-04-09 15:20,42,57,0,L
Gold Coast,Hawthorn,2017,QLD,Home,Carrara,Gold Coast,April,2017-04-09 16:40,139,53,1,W
Hawthorn,Gold Coast,2017,VIC,Away,Carrara,Gold Coast,April,2017-04-09 16:40,53,139,0,L
West Coast,Sydney,2017,WA,Home,Subiaco,Perth,April,2017-04-13 18:10,91,65,1,W
Sydney,West Coast,2017,NSW,Away,Subiaco,Perth,April,2017-04-13 18:10,65,91,0,L
North Melbourne,Western Bulldogs,2017,VIC,Home,Docklands,Melbourne,April,2017-04-14 16:20,86,89,0,L
Western Bulldogs,North Melbourne,2017,VIC,Away,Docklands,Melbourne,April,2017-04-14 16:20,89,86,1,W
Melbourne,Fremantle,2017,VIC,Home,M.C.G.,Melbourne,April,2017-04-15 13:45,104,106,0,L
Fremantle,Melbourne,2017,WA,Away,M.C.G.,Melbourne,April,2017-04-15 13:45,106,104,1,W
Greater Western Sydney,Port Adelaide,2017,NSW,Home,Manuka Oval,Canberra,April,2017-04-15 16:35,112,81,1,W
Port Adelaide,Greater Western Sydney,2017,SA,Away,Manuka Oval,Canberra,April,2017-04-15 16:35,81,112,0,L
Carlton,Gold Coast,2017,VIC,Home,Docklands,Melbourne,April,2017-04-15 19:25,82,108,0,L
Gold Coast,Carlton,2017,QLD,Away,Docklands,Melbourne,April,2017-04-15 19:25,108,82,1,W
Adelaide,Essendon,2017,SA,Home,Adelaide Oval,Adelaide,April,2017-04-15 19:10,153,88,1,W
Essendon,Adelaide,2017,VIC,Away,Adelaide Oval,Adelaide,April,2017-04-15 19:10,88,153,0,L
Collingwood,St Kilda,2017,VIC,Home,Docklands,Melbourne,April,2017-04-16 15:20,55,69,0,L
St Kilda,Collingwood,2017,VIC,Away,Docklands,Melbourne,April,2017-04-16 15:20,69,55,1,W
Brisbane Lions,Richmond,2017,QLD,Home,Gabba,Brisbane,April,2017-04-16 16:40,67,119,0,L
Richmond,Brisbane Lions,2017,VIC,Away,Gabba,Brisbane,April,2017-04-16 16:40,119,67,1,W
Hawthorn,Geelong,2017,VIC,Home,M.C.G.,Melbourne,April,2017-04-17 15:20,48,134,0,L
Geelong,Hawthorn,2017,VIC,Away,M.C.G.,Melbourne,April,2017-04-17 15:20,134,48,1,W
Port Adelaide,Carlton,2017,SA,Home,Adelaide Oval,Adelaide,April,2017-04-21 19:20,137,47,1,W
Carlton,Port Adelaide,2017,VIC,Away,Adelaide Oval,Adelaide,April,2017-04-21 19:20,47,137,0,L
Western Bulldogs,Brisbane Lions,2017,VIC,Home,Docklands,Melbourne,April,2017-04-22 13:45,122,90,1,W
Brisbane Lions,Western Bulldogs,2017,QLD,Away,Docklands,Melbourne,April,2017-04-22 13:45,90,122,0,L
Gold Coast,Adelaide,2017,QLD,Home,Carrara,Gold Coast,April,2017-04-22 16:35,86,153,0,L
Adelaide,Gold Coast,2017,SA,Away,Carrara,Gold Coast,April,2017-04-22 16:35,153,86,1,W
Sydney,Greater Western Sydney,2017,NSW,Home,S.C.G.,Sydney,April,2017-04-22 19:25,63,105,0,L
Greater Western Sydney,Sydney,2017,NSW,Away,S.C.G.,Sydney,April,2017-04-22 19:25,105,63,1,W
Fremantle,North Melbourne,2017,WA,Home,Subiaco,Perth,April,2017-04-22 17:40,67,62,1,W
North Melbourne,Fremantle,2017,VIC,Away,Subiaco,Perth,April,2017-04-22 17:40,62,67,0,L
St Kilda,Geelong,2017,VIC,Home,Docklands,Melbourne,April,2017-04-23 15:20,88,126,0,L
Geelong,St Kilda,2017,VIC,Away,Docklands,Melbourne,April,2017-04-23 15:20,126,88,1,W
Hawthorn,West Coast,2017,VIC,Home,M.C.G.,Melbourne,April,2017-04-23 16:40,125,75,1,W
West Coast,Hawthorn,2017,WA,Away,M.C.G.,Melbourne,April,2017-04-23 16:40,75,125,0,L
Richmond,Melbourne,2017,VIC,Home,M.C.G.,Melbourne,April,2017-04-24 19:25,88,75,1,W
Melbourne,Richmond,2017,VIC,Away,M.C.G.,Melbourne,April,2017-04-24 19:25,75,88,0,L
Essendon,Collingwood,2017,VIC,Home,M.C.G.,Melbourne,April,2017-04-25 15:20,100,82,1,W
Collingwood,Essendon,2017,VIC,Away,M.C.G.,Melbourne,April,2017-04-25 15:20,82,100,0,L
Greater Western Sydney,Western Bulldogs,2017,NSW,Home,Manuka Oval,Canberra,April,2017-04-28 19:50,75,73,1,W
Western Bulldogs,Greater Western Sydney,2017,VIC,Away,Manuka Oval,Canberra,April,2017-04-28 19:50,73,75,0,L
Hawthorn,St Kilda,2017,VIC,Home,York Park,Launceston,April,2017-04-29 13:45,55,130,0,L
St Kilda,Hawthorn,2017,VIC,Away,York Park,Launceston,April,2017-04-29 13:45,130,55,1,W
Carlton,Sydney,2017,VIC,Home,M.C.G.,Melbourne,April,2017-04-29 14:10,97,78,1,W
Sydney,Carlton,2017,NSW,Away,M.C.G.,Melbourne,April,2017-04-29 14:10,78,97,0,L
Brisbane Lions,Port Adelaide,2017,QLD,Home,Gabba,Brisbane,April,2017-04-29 16:35,67,150,0,L
Port Adelaide,Brisbane Lions,2017,SA,Away,Gabba,Brisbane,April,2017-04-29 16:35,150,67,1,W
North Melbourne,Gold Coast,2017,VIC,Home,Docklands,Melbourne,April,2017-04-29 19:25,107,94,1,W
Gold Coast,North Melbourne,2017,QLD,Away,Docklands,Melbourne,April,2017-04-29 19:25,94,107,0,L
West Coast,Fremantle,2017,WA,Home,Subiaco,Perth,April,2017-04-29 18:10,103,62,1,W
Fremantle,West Coast,2017,WA,Away,Subiaco,Perth,April,2017-04-29 18:10,62,103,0,L
Essendon,Melbourne,2017,VIC,Home,Docklands,Melbourne,April,2017-04-30 13:10,74,112,0,L
Melbourne,Essendon,2017,VIC,Away,Docklands,Melbourne,April,2017-04-30 13:10,112,74,1,W
Geelong,Collingwood,2017,VIC,Home,M.C.G.,Melbourne,April,2017-04-30 15:20,78,107,0,L
Collingwood,Geelong,2017,VIC,Away,M.C.G.,Melbourne,April,2017-04-30 15:20,107,78,1,W
Adelaide,Richmond,2017,SA,Home,Adelaide Oval,Adelaide,April,2017-04-30 16:10,140,64,1,W
Richmond,Adelaide,2017,VIC,Away,Adelaide Oval,Adelaide,April,2017-04-30 16:10,64,140,0,L
St Kilda,Greater Western Sydney,2017,VIC,Home,Docklands,Melbourne,May,2017-05-05 19:50,108,85,1,W
Greater Western Sydney,St Kilda,2017,NSW,Away,Docklands,Melbourne,May,2017-05-05 19:50,85,108,0,L
North Melbourne,Adelaide,2017,VIC,Home,Bellerive Oval,Hobart,May,2017-05-06 13:45,145,86,1,W
Adelaide,North Melbourne,2017,SA,Away,Bellerive Oval,Hobart,May,2017-05-06 13:45,86,145,0,L
Collingwood,Carlton,2017,VIC,Home,M.C.G.,Melbourne,May,2017-05-06 14:10,56,79,0,L
Carlton,Collingwood,2017,VIC,Away,M.C.G.,Melbourne,May,2017-05-06 14:10,79,56,1,W
Port Adelaide,West Coast,2017,SA,Home,Adelaide Oval,Adelaide,May,2017-05-06 16:05,87,97,0,L
West Coast,Port Adelaide,2017,WA,Away,Adelaide Oval,Adelaide,May,2017-05-06 16:05,97,87,1,W
Western Bulldogs,Richmond,2017,VIC,Home,Docklands,Melbourne,May,2017-05-06 19:25,80,75,1,W
Richmond,Western Bulldogs,2017,VIC,Away,Docklands,Melbourne,May,2017-05-06 19:25,75,80,0,L
Gold Coast,Geelong,2017,QLD,Home,Carrara,Gold Coast,May,2017-05-06 19:25,124,99,1,W
Geelong,Gold Coast,2017,VIC,Away,Carrara,Gold Coast,May,2017-05-06 19:25,99,124,0,L
Sydney,Brisbane Lions,2017,NSW,Home,S.C.G.,Sydney,May,2017-05-07 13:10,135,81,1,W
Brisbane Lions,Sydney,2017,QLD,Away,S.C.G.,Sydney,May,2017-05-07 13:10,81,135,0,L
Melbourne,Hawthorn,2017,VIC,Home,M.C.G.,Melbourne,May,2017-05-07 15:20,91,94,0,L
Hawthorn,Melbourne,2017,VIC,Away,M.C.G.,Melbourne,May,2017-05-07 15:20,94,91,1,W
Fremantle,Essendon,2017,WA,Home,Subiaco,Perth,May,2017-05-07 14:40,116,79,1,W
Essendon,Fremantle,2017,VIC,Away,Subiaco,Perth,May,2017-05-07 14:40,79,116,0,L
West Coast,Western Bulldogs,2017,WA,Home,Subiaco,Perth,May,2017-05-12 18:10,69,61,1,W
Western Bulldogs,West Coast,2017,VIC,Away,Subiaco,Perth,May,2017-05-12 18:10,61,69,0,L
Hawthorn,Brisbane Lions,2017,VIC,Home,York Park,Launceston,May,2017-05-13 13:45,113,75,1,W
Brisbane Lions,Hawthorn,2017,QLD,Away,York Park,Launceston,May,2017-05-13 13:45,75,113,0,L
St Kilda,Carlton,2017,VIC,Home,Docklands,Melbourne,May,2017-05-13 14:10,85,66,1,W
Carlton,St Kilda,2017,VIC,Away,Docklands,Melbourne,May,2017-05-13 14:10,66,85,0,L
Greater Western Sydney,Collingwood,2017,NSW,Home,Sydney Showground,Sydney,May,2017-05-13 16:35,102,99,1,W
Collingwood,Greater Western Sydney,2017,VIC,Away,Sydney Showground,Sydney,May,2017-05-13 16:35,99,102,0,L
Essendon,Geelong,2017,VIC,Home,M.C.G.,Melbourne,May,2017-05-13 19:25,110,93,1,W
Geelong,Essendon,2017,VIC,Away,M.C.G.,Melbourne,May,2017-05-13 19:25,93,110,0,L
Adelaide,Melbourne,2017,SA,Home,Adelaide Oval,Adelaide,May,2017-05-13 19:10,66,107,0,L
Melbourne,Adelaide,2017,VIC,Away,Adelaide Oval,Adelaide,May,2017-05-13 19:10,107,66,1,W
Richmond,Fremantle,2017,VIC,Home,M.C.G.,Melbourne,May,2017-05-14 13:10,70,72,0,L
Fremantle,Richmond,2017,WA,Away,M.C.G.,Melbourne,May,2017-05-14 13:10,72,70,1,W
Gold Coast,Port Adelaide,2017,QLD,Home,Jiangwan Stadium,Shanghai,May,2017-05-14 13:15,38,110,0,L
Port Adelaide,Gold Coast,2017,SA,Away,Jiangwan Stadium,Shanghai,May,2017-05-14 13:15,110,38,1,W
North Melbourne,Sydney,2017,VIC,Home,Docklands,Melbourne,May,2017-05-14 16:40,78,120,0,L
Sydney,North Melbourne,2017,NSW,Away,Docklands,Melbourne,May,2017-05-14 16:40,120,78,1,W
Geelong,Western Bulldogs,2017,VIC,Home,Kardinia Park,Geelong,May,2017-05-19 19:50,104,81,1,W
Western Bulldogs,Geelong,2017,VIC,Away,Kardinia Park,Geelong,May,2017-05-19 19:50,81,104,0,L
St Kilda,Sydney,2017,VIC,Home,Docklands,Melbourne,May,2017-05-20 13:45,68,118,0,L
Sydney,St Kilda,2017,NSW,Away,Docklands,Melbourne,May,2017-05-20 13:45,118,68,1,W
Greater Western Sydney,Richmond,2017,NSW,Home,Sydney Showground,Sydney,May,2017-05-20 16:35,78,75,1,W
Richmond,Greater Western Sydney,2017,VIC,Away,Sydney Showground,Sydney,May,2017-05-20 16:35,75,78,0,L
Brisbane Lions,Adelaide,2017,QLD,Home,Gabba,Brisbane,May,2017-05-20 19:25,60,140,0,L
Adelaide,Brisbane Lions,2017,SA,Away,Gabba,Brisbane,May,2017-05-20 19:25,140,60,1,W
Collingwood,Hawthorn,2017,VIC,Home,M.C.G.,Melbourne,May,2017-05-20 19:25,90,72,1,W
Hawthorn,Collingwood,2017,VIC,Away,M.C.G.,Melbourne,May,2017-05-20 19:25,72,90,0,L
Essendon,West Coast,2017,VIC,Home,Docklands,Melbourne,May,2017-05-21 13:10,125,64,1,W
West Coast,Essendon,2017,WA,Away,Docklands,Melbourne,May,2017-05-21 13:10,64,125,0,L
Melbourne,North Melbourne,2017,VIC,Home,M.C.G.,Melbourne,May,2017-05-21 15:20,90,104,0,L
North Melbourne,Melbourne,2017,VIC,Away,M.C.G.,Melbourne,May,2017-05-21 15:20,104,90,1,W
Fremantle,Carlton,2017,WA,Home,Subiaco,Perth,May,2017-05-21 14:40,86,51,1,W
Carlton,Fremantle,2017,VIC,Away,Subiaco,Perth,May,2017-05-21 14:40,51,86,0,L
Geelong,Port Adelaide,2017,VIC,Home,Kardinia Park,Geelong,May,2017-05-25 19:20,81,79,1,W
Port Adelaide,Geelong,2017,SA,Away,Kardinia Park,Geelong,May,2017-05-25 19:20,79,81,0,L
Sydney,Hawthorn,2017,NSW,Home,S.C.G.,Sydney,May,2017-05-26 19:50,75,81,0,L
Hawthorn,Sydney,2017,VIC,Away,S.C.G.,Sydney,May,2017-05-26 19:50,81,75,1,W
Western Bulldogs,St Kilda,2017,VIC,Home,Docklands,Melbourne,May,2017-05-27 13:45,90,50,1,W
St Kilda,Western Bulldogs,2017,VIC,Away,Docklands,Melbourne,May,2017-05-27 13:45,50,90,0,L
Melbourne,Gold Coast,2017,VIC,Home,Traeger Park,Alice Springs,May,2017-05-27 16:05,122,87,1,W
Gold Coast,Melbourne,2017,QLD,Away,Traeger Park,Alice Springs,May,2017-05-27 16:05,87,122,0,L
Richmond,Essendon,2017,VIC,Home,M.C.G.,Melbourne,May,2017-05-27 19:25,81,66,1,W
Essendon,Richmond,2017,VIC,Away,M.C.G.,Melbourne,May,2017-05-27 19:25,66,81,0,L
Adelaide,Fremantle,2017,SA,Home,Adelaide Oval,Adelaide,May,2017-05-27 19:10,143,43,1,W
Fremantle,Adelaide,2017,WA,Away,Adelaide Oval,Adelaide,May,2017-05-27 19:10,43,143,0,L
Collingwood,Brisbane Lions,2017,VIC,Home,M.C.G.,Melbourne,May,2017-05-28 13:10,129,84,1,W
Brisbane Lions,Collingwood,2017,QLD,Away,M.C.G.,Melbourne,May,2017-05-28 13:10,84,129,0,L
Carlton,North Melbourne,2017,VIC,Home,Docklands,Melbourne,May,2017-05-28 15:20,96,113,0,L
North Melbourne,Carlton,2017,VIC,Away,Docklands,Melbourne,May,2017-05-28 15:20,113,96,1,W
West Coast,Greater Western Sydney,2017,WA,Home,Subiaco,Perth,May,2017-05-28 14:40,90,98,0,L
Greater Western Sydney,West Coast,2017,NSW,Away,Subiaco,Perth,May,2017-05-28 14:40,98,90,1,W
Port Adelaide,Hawthorn,2017,SA,Home,Adelaide Oval,Adelaide,June,2017-06-01 19:20,98,47,1,W
Hawthorn,Port Adelaide,2017,VIC,Away,Adelaide Oval,Adelaide,June,2017-06-01 19:20,47,98,0,L
Geelong,Adelaide,2017,VIC,Home,Kardinia Park,Geelong,June,2017-06-02 19:50,96,74,1,W
Adelaide,Geelong,2017,SA,Away,Kardinia Park,Geelong,June,2017-06-02 19:50,74,96,0,L
Gold Coast,West Coast,2017,QLD,Home,Carrara,Gold Coast,June,2017-06-03 13:45,80,77,1,W
West Coast,Gold Coast,2017,WA,Away,Carrara,Gold Coast,June,2017-06-03 13:45,77,80,0,L
Greater Western Sydney,Essendon,2017,NSW,Home,Sydney Showground,Sydney,June,2017-06-03 16:35,117,101,1,W
Essendon,Greater Western Sydney,2017,VIC,Away,Sydney Showground,Sydney,June,2017-06-03 16:35,101,117,0,L
North Melbourne,Richmond,2017,VIC,Home,Docklands,Melbourne,June,2017-06-03 19:25,66,101,0,L
Richmond,North Melbourne,2017,VIC,Away,Docklands,Melbourne,June,2017-06-03 19:25,101,66,1,W
Fremantle,Collingwood,2017,WA,Home,Subiaco,Perth,June,2017-06-04 14:40,85,105,0,L
Collingwood,Fremantle,2017,VIC,Away,Subiaco,Perth,June,2017-06-04 14:40,105,85,1,W
Sydney,Western Bulldogs,2017,NSW,Home,S.C.G.,Sydney,June,2017-06-08 19:20,88,42,1,W
Western Bulldogs,Sydney,2017,VIC,Away,S.C.G.,Sydney,June,2017-06-08 19:20,42,88,0,L
Adelaide,St Kilda,2017,SA,Home,Adelaide Oval,Adelaide,June,2017-06-09 19:20,111,54,1,W
St Kilda,Adelaide,2017,VIC,Away,Adelaide Oval,Adelaide,June,2017-06-09 19:20,54,111,0,L
Hawthorn,Gold Coast,2017,VIC,Home,M.C.G.,Melbourne,June,2017-06-10 13:45,79,95,0,L
Gold Coast,Hawthorn,2017,QLD,Away,M.C.G.,Melbourne,June,2017-06-10 13:45,95,79,1,W
Brisbane Lions,Fremantle,2017,QLD,Home,Gabba,Brisbane,June,2017-06-10 16:35,121,64,1,W
Fremantle,Brisbane Lions,2017,WA,Away,Gabba,Brisbane,June,2017-06-10 16:35,64,121,0,L
Essendon,Port Adelaide,2017,VIC,Home,Docklands,Melbourne,June,2017-06-10 19:25,131,61,1,W
Port Adelaide,Essendon,2017,SA,Away,Docklands,Melbourne,June,2017-06-10 19:25,61,131,0,L
Carlton,Greater Western Sydney,2017,VIC,Home,Docklands,Melbourne,June,2017-06-11 15:20,71,70,1,W
Greater Western Sydney,Carlton,2017,NSW,Away,Docklands,Melbourne,June,2017-06-11 15:20,70,71,0,L
Melbourne,Collingwood,2017,VIC,Home,M.C.G.,Melbourne,June,2017-06-12 15:20,104,100,1,W
Collingwood,Melbourne,2017,VIC,Away,M.C.G.,Melbourne,June,2017-06-12 15:20,100,104,0,L
West Coast,Geelong,2017,WA,Home,Subiaco,Perth,June,2017-06-15 18:10,83,70,1,W
Geelong,West Coast,2017,VIC,Away,Subiaco,Perth,June,2017-06-15 18:10,70,83,0,L
North Melbourne,St Kilda,2017,VIC,Home,Docklands,Melbourne,June,2017-06-16 19:50,72,89,0,L
St Kilda,North Melbourne,2017,VIC,Away,Docklands,Melbourne,June,2017-06-16 19:50,89,72,1,W
Richmond,Sydney,2017,VIC,Home,M.C.G.,Melbourne,June,2017-06-17 13:45,71,80,0,L
Sydney,Richmond,2017,NSW,Away,M.C.G.,Melbourne,June,2017-06-17 13:45,80,71,1,W
Port Adelaide,Brisbane Lions,2017,SA,Home,Adelaide Oval,Adelaide,June,2017-06-17 16:05,121,81,1,W
Brisbane Lions,Port Adelaide,2017,QLD,Away,Adelaide Oval,Adelaide,June,2017-06-17 16:05,81,121,0,L
Gold Coast,Carlton,2017,QLD,Home,Carrara,Gold Coast,June,2017-06-17 19:25,73,83,0,L
Carlton,Gold Coast,2017,VIC,Away,Carrara,Gold Coast,June,2017-06-17 19:25,83,73,1,W
Western Bulldogs,Melbourne,2017,VIC,Home,Docklands,Melbourne,June,2017-06-18 15:20,56,113,0,L
Melbourne,Western Bulldogs,2017,VIC,Away,Docklands,Melbourne,June,2017-06-18 15:20,113,56,1,W
Adelaide,Hawthorn,2017,SA,Home,Adelaide Oval,Adelaide,June,2017-06-22 19:20,82,96,0,L
Hawthorn,Adelaide,2017,VIC,Away,Adelaide Oval,Adelaide,June,2017-06-22 19:20,96,82,1,W
Sydney,Essendon,2017,NSW,Home,S.C.G.,Sydney,June,2017-06-23 19:50,86,85,1,W
Essendon,Sydney,2017,VIC,Away,S.C.G.,Sydney,June,2017-06-23 19:50,85,86,0,L
Collingwood,Port Adelaide,2017,VIC,Home,M.C.G.,Melbourne,June,2017-06-24 13:45,62,93,0,L
Port Adelaide,Collingwood,2017,SA,Away,M.C.G.,Melbourne,June,2017-06-24 13:45,93,62,1,W
Brisbane Lions,Greater Western Sydney,2017,QLD,Home,Gabba,Brisbane,June,2017-06-24 16:35,86,146,0,L
Greater Western Sydney,Brisbane Lions,2017,NSW,Away,Gabba,Brisbane,June,2017-06-24 16:35,146,86,1,W
Western Bulldogs,North Melbourne,2017,VIC,Home,Docklands,Melbourne,June,2017-06-24 19:25,107,106,1,W
North Melbourne,Western Bulldogs,2017,VIC,Away,Docklands,Melbourne,June,2017-06-24 19:25,106,107,0,L
West Coast,Melbourne,2017,WA,Home,Subiaco,Perth,June,2017-06-24 17:40,96,99,0,L
Melbourne,West Coast,2017,VIC,Away,Subiaco,Perth,June,2017-06-24 17:40,99,96,1,W
Geelong,Fremantle,2017,VIC,Home,Kardinia Park,Geelong,June,2017-06-25 13:10,74,72,1,W
Fremantle,Geelong,2017,WA,Away,Kardinia Park,Geelong,June,2017-06-25 13:10,72,74,0,L
Richmond,Carlton,2017,VIC,Home,M.C.G.,Melbourne,June,2017-06-25 15:20,84,58,1,W
Carlton,Richmond,2017,VIC,Away,M.C.G.,Melbourne,June,2017-06-25 15:20,58,84,0,L
St Kilda,Gold Coast,2017,VIC,Home,Docklands,Melbourne,June,2017-06-25 16:40,103,72,1,W
Gold Coast,St Kilda,2017,QLD,Away,Docklands,Melbourne,June,2017-06-25 16:40,72,103,0,L
Melbourne,Sydney,2017,VIC,Home,M.C.G.,Melbourne,June,2017-06-30 19:50,50,85,0,L
Sydney,Melbourne,2017,NSW,Away,M.C.G.,Melbourne,June,2017-06-30 19:50,85,50,1,W
Western Bulldogs,West Coast,2017,VIC,Home,Docklands,Melbourne,July,2017-07-01 13:45,80,87,0,L
West Coast,Western Bulldogs,2017,WA,Away,Docklands,Melbourne,July,2017-07-01 13:45,87,80,1,W
Carlton,Adelaide,2017,VIC,Home,M.C.G.,Melbourne,July,2017-07-01 14:10,77,89,0,L
Adelaide,Carlton,2017,SA,Away,M.C.G.,Melbourne,July,2017-07-01 14:10,89,77,1,W
Gold Coast,North Melbourne,2017,QLD,Home,Carrara,Gold Coast,July,2017-07-01 16:35,118,99,1,W
North Melbourne,Gold Coast,2017,VIC,Away,Carrara,Gold Coast,July,2017-07-01 16:35,99,118,0,L
Greater Western Sydney,Geelong,2017,NSW,Home,Sydney Showground,Sydney,July,2017-07-01 19:25,68,68,0,D
Geelong,Greater Western Sydney,2017,VIC,Away,Sydney Showground,Sydney,July,2017-07-01 19:25,68,68,0,D
Port Adelaide,Richmond,2017,SA,Home,Adelaide Oval,Adelaide,July,2017-07-01 19:10,63,76,0,L
Richmond,Port Adelaide,2017,VIC,Away,Adelaide Oval,Adelaide,July,2017-07-01 19:10,76,63,1,W
Essendon,Brisbane Lions,2017,VIC,Home,Docklands,Melbourne,July,2017-07-02 13:10,82,90,0,L
Brisbane Lions,Essendon,2017,QLD,Away,Docklands,Melbourne,July,2017-07-02 13:10,90,82,1,W
Hawthorn,Collingwood,2017,VIC,Home,M.C.G.,Melbourne,July,2017-07-02 15:20,118,94,1,W
Collingwood,Hawthorn,2017,VIC,Away,M.C.G.,Melbourne,July,2017-07-02 15:20,94,118,0,L
Fremantle,St Kilda,2017,WA,Home,Subiaco,Perth,July,2017-07-02 14:40,80,89,0,L
St Kilda,Fremantle,2017,VIC,Away,Subiaco,Perth,July,2017-07-02 14:40,89,80,1,W
Adelaide,Western Bulldogs,2017,SA,Home,Adelaide Oval,Adelaide,July,2017-07-07 19:20,104,45,1,W
Western Bulldogs,Adelaide,2017,VIC,Away,Adelaide Oval,Adelaide,July,2017-07-07 19:20,45,104,0,L
Hawthorn,Greater Western Sydney,2017,VIC,Home,York Park,Launceston,July,2017-07-08 13:45,97,97,0,D
Greater Western Sydney,Hawthorn,2017,NSW,Away,York Park,Launceston,July,2017-07-08 13:45,97,97,0,D
Collingwood,Essendon,2017,VIC,Home,M.C.G.,Melbourne,July,2017-07-08 14:10,80,117,0,L
Essendon,Collingwood,2017,VIC,Away,M.C.G.,Melbourne,July,2017-07-08 14:10,117,80,1,W
Sydney,Gold Coast,2017,NSW,Home,S.C.G.,Sydney,July,2017-07-08 16:35,118,51,1,W
Gold Coast,Sydney,2017,QLD,Away,S.C.G.,Sydney,July,2017-07-08 16:35,51,118,0,L
Brisbane Lions,Geelong,2017,QLD,Home,Gabba,Brisbane,July,2017-07-08 19:25,78,163,0,L
Geelong,Brisbane Lions,2017,VIC,Away,Gabba,Brisbane,July,2017-07-08 19:25,163,78,1,W
St Kilda,Richmond,2017,VIC,Home,Docklands,Melbourne,July,2017-07-08 19:25,138,71,1,W
Richmond,St Kilda,2017,VIC,Away,Docklands,Melbourne,July,2017-07-08 19:25,71,138,0,L
North Melbourne,Fremantle,2017,VIC,Home,Docklands,Melbourne,July,2017-07-09 13:10,82,86,0,L
Fremantle,North Melbourne,2017,WA,Away,Docklands,Melbourne,July,2017-07-09 13:10,86,82,1,W
Carlton,Melbourne,2017,VIC,Home,M.C.G.,Melbourne,July,2017-07-09 15:20,82,90,0,L
Melbourne,Carlton,2017,VIC,Away,M.C.G.,Melbourne,July,2017-07-09 15:20,90,82,1,W
West Coast,Port Adelaide,2017,WA,Home,Subiaco,Perth,July,2017-07-09 14:40,88,120,0,L
Port Adelaide,West Coast,2017,SA,Away,Subiaco,Perth,July,2017-07-09 14:40,120,88,1,W
St Kilda,Essendon,2017,VIC,Home,Docklands,Melbourne,July,2017-07-14 19:50,57,118,0,L
Essendon,St Kilda,2017,VIC,Away,Docklands,Melbourne,July,2017-07-14 19:50,118,57,1,W
Geelong,Hawthorn,2017,VIC,Home,M.C.G.,Melbourne,July,2017-07-15 13:45,88,85,1,W
Hawthorn,Geelong,2017,VIC,Away,M.C.G.,Melbourne,July,2017-07-15 13:45,85,88,0,L
Port Adelaide,North Melbourne,2017,SA,Home,Adelaide Oval,Adelaide,July,2017-07-15 13:40,127,57,1,W
North Melbourne,Port Adelaide,2017,VIC,Away,Adelaide Oval,Adelaide,July,2017-07-15 13:40,57,127,0,L
Gold Coast,Collingwood,2017,QLD,Home,Carrara,Gold Coast,July,2017-07-15 16:35,88,103,0,L
Collingwood,Gold Coast,2017,VIC,Away,Carrara,Gold Coast,July,2017-07-15 16:35,103,88,1,W
Greater Western Sydney,Sydney,2017,NSW,Home,Sydney Showground,Sydney,July,2017-07-15 19:25,83,96,0,L
Sydney,Greater Western Sydney,2017,NSW,Away,Sydney Showground,Sydney,July,2017-07-15 19:25,96,83,1,W
Melbourne,Adelaide,2017,VIC,Home,Marrara Oval,Darwin,July,2017-07-15 19:10,70,116,0,L
Adelaide,Melbourne,2017,SA,Away,Marrara Oval,Darwin,July,2017-07-15 19:10,116,70,1,W
Richmond,Brisbane Lions,2017,VIC,Home,Docklands,Melbourne,July,2017-07-16 13:10,112,81,1,W
Brisbane Lions,Richmond,2017,QLD,Away,Docklands,Melbourne,July,2017-07-16 13:10,81,112,0,L
Carlton,Western Bulldogs,2017,VIC,Home,M.C.G.,Melbourne,July,2017-07-16 15:20,62,82,0,L
Western Bulldogs,Carlton,2017,VIC,Away,M.C.G.,Melbourne,July,2017-07-16 15:20,82,62,1,W
Fremantle,West Coast,2017,WA,Home,Subiaco,Perth,July,2017-07-16 14:40,44,74,0,L
West Coast,Fremantle,2017,WA,Away,Subiaco,Perth,July,2017-07-16 14:40,74,44,1,W
Adelaide,Geelong,2017,SA,Home,Adelaide Oval,Adelaide,July,2017-07-21 19:20,91,70,1,W
Geelong,Adelaide,2017,VIC,Away,Adelaide Oval,Adelaide,July,2017-07-21 19:20,70,91,0,L
Essendon,North Melbourne,2017,VIC,Home,Docklands,Melbourne,July,2017-07-22 13:45,132,105,1,W
