Team,Opponent,Season,State,Game_Type,Venue,Venue_City,Month,Date,Team_Score,Opponent_Score,Win,Result
Geelong,Carlton,2010,VIC,Away,M.C.G.,Melbourne,April,2010-04-26 14:10,68,104,0,L
Western Bulldogs,St Kilda,2010,VIC,Home,Docklands,Melbourne,April,2010-04-30 19:40,46,49,0,L
St Kilda,Western Bulldogs,2010,VIC,Away,Docklands,Melbourne,April,2010-04-30 19:40,49,46,1,W
North Melbourne,Melbourne,2010,VIC,Home,Docklands,Melbourne,May,2010-05-01 14:10,104,78,1,W
Melbourne,North Melbourne,2010,VIC,Away,Docklands,Melbourne,May,2010-05-01 14:10,78,104,0,L
Adelaide,Port Adelaide,2010,SA,Home,Football Park,Adelaide,May,2010-05-01 14:40,74,97,0,L
Port Adelaide,Adelaide,2010,SA,Away,Football Park,Adelaide,May,2010-05-01 14:40,97,74,1,W
Essendon,Hawthorn,2010,VIC,Home,M.C.G.,Melbourne,May,2010-05-01 19:10,106,63,1,W
Hawthorn,Essendon,2010,VIC,Away,M.C.G.,Melbourne,May,2010-05-01 19:10,63,106,0,L
Sydney,Brisbane Lions,2010,NSW,Home,S.C.G.,Sydney,May,2010-05-01 19:10,107,87,1,W
Brisbane Lions,Sydney,2010,QLD,Away,S.C.G.,Sydney,May,2010-05-01 19:10,87,107,0,L
Geelong,Richmond,2010,VIC,Home,Kardinia Park,Geelong,May,2010-05-02 13:10,161,53,1,W
Richmond,Geelong,2010,VIC,Away,Kardinia Park,Geelong,May,2010-05-02 13:10,53,161,0,L
Carlton,Collingwood,2010,VIC,Home,M.C.G.,Melbourne,May,2010-05-02 14:10,102,155,0,L
Collingwood,Carlton,2010,VIC,Away,M.C.G.,Melbourne,May,2010-05-02 14:10,155,102,1,W
West Coast,Fremantle,2010,WA,Home,Subiaco,Perth,May,2010-05-02 14:40,73,111,0,L
Fremantle,West Coast,2010,WA,Away,Subiaco,Perth,May,2010-05-02 14:40,111,73,1,W
Melbourne,Western Bulldogs,2010,VIC,Home,M.C.G.,Melbourne,May,2010-05-07 19:40,66,70,0,L
Western Bulldogs,Melbourne,2010,VIC,Away,M.C.G.,Melbourne,May,2010-05-07 19:40,70,66,1,W
Essendon,Port Adelaide,2010,VIC,Home,Docklands,Melbourne,May,2010-05-08 14:10,106,109,0,L
Port Adelaide,Essendon,2010,SA,Away,Docklands,Melbourne,May,2010-05-08 14:10,109,106,1,W
West Coast,Hawthorn,2010,WA,Home,Subiaco,Perth,May,2010-05-08 13:10,102,94,1,W
Hawthorn,West Coast,2010,VIC,Away,Subiaco,Perth,May,2010-05-08 13:10,94,102,0,L
Collingwood,North Melbourne,2010,VIC,Home,M.C.G.,Melbourne,May,2010-05-08 19:10,157,91,1,W
North Melbourne,Collingwood,2010,VIC,Away,M.C.G.,Melbourne,May,2010-05-08 19:10,91,157,0,L
Brisbane Lions,Fremantle,2010,QLD,Home,Gabba,Brisbane,May,2010-05-08 19:10,100,113,0,L
Fremantle,Brisbane Lions,2010,WA,Away,Gabba,Brisbane,May,2010-05-08 19:10,113,100,1,W
Geelong,Sydney,2010,VIC,Home,Kardinia Park,Geelong,May,2010-05-09 13:10,126,59,1,W
Sydney,Geelong,2010,NSW,Away,Kardinia Park,Geelong,May,2010-05-09 13:10,59,126,0,L
Adelaide,Richmond,2010,SA,Home,Football Park,Adelaide,May,2010-05-09 16:10,104,54,1,W
Richmond,Adelaide,2010,VIC,Away,Football Park,Adelaide,May,2010-05-09 16:10,54,104,0,L
St Kilda,Carlton,2010,VIC,Home,Docklands,Melbourne,May,2010-05-10 19:20,68,129,0,L
Carlton,St Kilda,2010,VIC,Away,Docklands,Melbourne,May,2010-05-10 19:20,129,68,1,W
Fremantle,Collingwood,2010,WA,Home,Subiaco,Perth,May,2010-05-14 18:40,97,133,0,L
Collingwood,Fremantle,2010,VIC,Away,Subiaco,Perth,May,2010-05-14 18:40,133,97,1,W
Western Bulldogs,Sydney,2010,VIC,Home,Manuka Oval,Canberra,May,2010-05-15 14:10,101,63,1,W
Sydney,Western Bulldogs,2010,NSW,Away,Manuka Oval,Canberra,May,2010-05-15 14:10,63,101,0,L
Melbourne,West Coast,2010,VIC,Home,M.C.G.,Melbourne,May,2010-05-15 14:10,46,75,0,L
West Coast,Melbourne,2010,WA,Away,M.C.G.,Melbourne,May,2010-05-15 14:10,75,46,1,W
North Melbourne,Adelaide,2010,VIC,Home,Docklands,Melbourne,May,2010-05-15 19:10,84,75,1,W
Adelaide,North Melbourne,2010,SA,Away,Docklands,Melbourne,May,2010-05-15 19:10,75,84,0,L
Brisbane Lions,Geelong,2010,QLD,Home,Gabba,Brisbane,May,2010-05-15 19:10,74,155,0,L
Geelong,Brisbane Lions,2010,VIC,Away,Gabba,Brisbane,May,2010-05-15 19:10,155,74,1,W
Richmond,Hawthorn,2010,VIC,Home,M.C.G.,Melbourne,May,2010-05-16 13:10,86,89,0,L
